Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
10.2,BREASTSTROKE,1,25.0,00:00:13.375,0:,0:,17.0,112.0,113.0,4,--,--
10.3,BREASTSTROKE,1,25.0,00:00:43.750,2:55,2:55,63.0,108.0,111.0,19,--,--
10.4,BREASTSTROKE,1,25.0,00:01:16.624,5:07,5:07,104.0,115.0,118.0,27,--,--
REST,,,0.0,00:00:09.813,--,--,0.0,104.0,106.0,0,0.0,1
11,MIXED,3,75.0,00:01:39.499,2:13,1:44,45.0,118.0,127.0,35,11.699999809265137,11
11.1,BACKSTROKE,1,25.0,00:00:36.937,2:28,2:28,50.0,110.0,119.0,13,--,--
11.2,BREASTSTROKE,1,25.0,00:00:36.500,2:26,2:26,53.0,117.0,127.0,16,--,--
11.3,BREASTSTROKE,1,25.0,00:00:26.062,1:44,1:44,32.0,124.0,126.0,6,--,--
REST,,,0.0,00:01:02.875,--,--,0.0,96.0,113.0,0,0.0,4
12,FREESTYLE,4,100.0,00:02:25.813,2:26,1:51,50.0,122.0,152.0,56,14.0,19
12.1,FREESTYLE,1,25.0,00:00:35.312,2:21,2:21,49.0,101.0,111.0,14,--,--
12.2,FREESTYLE,1,25.0,00:00:38.750,2:35,2:35,54.0,117.0,126.0,15,--,--
12.3,FREESTYLE,1,25.0,00:00:43.937,2:56,2:56,60.0,126.0,130.0,16,--,--
12.4,FREESTYLE,1,25.0,00:00:27.814,1:51,1:51,39.0,129.0,130.0,11,--,--
REST,,,0.0,00:02:06.625,--,--,0.0,106.0,148.0,0,0.0,10
13,BACKSTROKE,2,50.0,00:00:59.313,1:59,1:48,40.0,137.0,145.0,21,10.5,9
13.1,BACKSTROKE,1,25.0,00:00:26.937,1:48,1:48,38.0,130.0,133.0,11,--,--
13.2,BACKSTROKE,1,25.0,00:00:32.375,2:10,2:10,42.0,137.0,141.0,10,--,--
REST,,,0.0,00:02:33.750,--,--,0.0,102.0,144.0,0,0.0,12
14,MIXED,5,125.0,00:01:41.625,1:21,1:05,26.0,141.0,156.0,28,5.599999904632568,18
14.1,BACKSTROKE,1,25.0,00:00:19.812,1:19,1:19,26.0,102.0,111.0,6,--,--
14.2,BACKSTROKE,1,25.0,00:00:19.875,1:19,1:19,26.0,124.0,140.0,6,--,--
14.3,BREASTSTROKE,1,25.0,00:00:16.187,1:05,1:05,21.0,141.0,144.0,5,--,--
14.4,BACKSTROKE,1,25.0,00:00:19.062,1:16,1:16,25.0,146.0,152.0,6,--,--
14.5,BACKSTROKE,1,25.0,00:00:26.689,1:47,1:47,32.0,153.0,156.0,5,--,--
REST,,,0.0,00:00:14.563,--,--,0.0,155.0,157.0,0,0.0,3
15,BACKSTROKE,1,25.0,00:00:40.124,2:41,2:41,46.0,157.0,160.0,6,6.0,8
15.1,BACKSTROKE,1,25.0,00:00:40.124,2:41,2:41,46.0,157.0,160.0,6,--,--
REST,,,0.0,00:00:13.063,--,--,0.0,153.0,154.0,0,0.0,4
16,BACKSTROKE,2,50.0,00:00:39.249,1:18,1:08,26.0,152.0,157.0,12,6.0,8
16.1,BACKSTROKE,1,25.0,00:00:22.250,1:29,1:29,29.0,152.0,154.0,7,--,--
16.2,BACKSTROKE,1,25.0,00:00:16.999,1:08,1:08,22.0,151.0,156.0,5,--,--
REST,,,0.0,00:02:02.500,--,--,0.0,107.0,151.0,0,0.0,10
17,MIXED,5,125.0,00:02:58.250,2:23,0:,51.0,141.0,163.0,76,15.199999809265137,29
17.1,BREASTSTROKE,1,25.0,00:00:19.000,1:16,1:16,29.0,103.0,107.0,10,--,--
17.2,FREESTYLE,1,25.0,00:00:59.562,3:58,3:58,87.0,122.0,134.0,27,--,--
17.3,FREESTYLE,1,25.0,00:00:52.812,3:31,3:31,76.0,148.0,163.0,23,--,--
17.4,FREESTYLE,1,25.0,00:00:14.687,0:,0:,21.0,159.0,163.0,6,--,--
17.5,FREESTYLE,1,25.0,00:00:32.189,2:09,2:09,42.0,157.0,161.0,10,--,--
REST,,,0.0,00:00:18.563,--,--,0.0,141.0,152.0,0,0.0,5
18,FREESTYLE,2,50.0,00:01:03.938,2:08,1:46,44.0,147.0,155.0,24,12.0,13
18.1,FREESTYLE,1,25.0,00:00:37.500,2:30,2:30,52.0,140.0,148.0,14,--,--
18.2,FREESTYLE,1,25.0,00:00:26.438,1:46,1:46,36.0,148.0,151.0,10,--,--
REST,,,0.0,00:00:33.937,--,--,0.0,147.0,152.0,0,0.0,5
REST,,,0.0,00:00:07.063,--,--,0.0,141.0,142.0,0,3.0,1
REST,,,0.0,00:00:13.747,--,--,0.0,142.0,142.0,0,0.0,1
Summary,,49,1225.0,00:40:47.994,2:10,0:,44.0,121.0,163.0,560,11.399999618530273,318
