Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
7.1,FREESTYLE,1,25.0,00:00:18.375,1:13,1:13,26.0,100.0,112.0,8,--,--
7.2,BACKSTROKE,1,25.0,00:00:19.625,1:18,1:18,27.0,121.0,124.0,7,--,--
7.3,BACKSTROKE,1,25.0,00:00:18.250,1:13,1:13,25.0,123.0,126.0,7,--,--
7.4,BACKSTROKE,1,25.0,00:00:16.437,1:06,1:06,21.0,127.0,129.0,5,--,--
7.5,FREESTYLE,1,25.0,00:00:14.937,0:,0:,23.0,127.0,131.0,8,--,--
7.6,FREESTYLE,1,25.0,00:00:13.187,0:,0:,17.0,133.0,135.0,4,--,--
7.7,FREESTYLE,1,25.0,00:00:17.875,1:11,1:11,24.0,138.0,140.0,6,--,--
7.8,FREESTYLE,1,25.0,00:00:25.750,1:43,1:43,35.0,138.0,139.0,9,--,--
7.9,BREASTSTROKE,1,25.0,00:00:24.562,1:38,1:38,34.0,137.0,140.0,9,--,--
7.10,BACKSTROKE,1,25.0,00:00:25.003,1:40,1:40,33.0,135.0,137.0,8,--,--
REST,,,0.0,00:00:35.500,--,--,0.0,122.0,126.0,0,0.0,3
8,BACKSTROKE,1,25.0,00:00:32.313,2:09,2:09,45.0,117.0,118.0,13,13.0,3
8.1,BACKSTROKE,1,25.0,00:00:32.313,2:09,2:09,45.0,118.0,121.0,13,--,--
REST,,,0.0,00:01:36.937,--,--,0.0,114.0,127.0,0,0.0,8
9,FREESTYLE,4,100.0,00:03:07.313,3:07,2:31,63.0,135.0,157.0,63,15.800000190734863,29
9.1,FREESTYLE,1,25.0,00:00:37.812,2:31,2:31,51.0,116.0,127.0,13,--,--
9.2,FREESTYLE,1,25.0,00:00:42.562,2:50,2:50,61.0,129.0,140.0,18,--,--
9.3,FREESTYLE,1,25.0,00:00:48.125,3:13,3:13,64.0,137.0,147.0,16,--,--
9.4,FREESTYLE,1,25.0,00:00:58.814,3:55,3:55,75.0,141.0,146.0,16,--,--
REST,,,0.0,00:01:41.000,--,--,0.0,116.0,151.0,0,0.0,9
10,MIXED,4,100.0,00:02:36.876,2:37,2:25,54.0,141.0,158.0,60,15.0,27
10.1,FREESTYLE,1,25.0,00:00:36.187,2:25,2:25,50.0,116.0,130.0,14,--,--
10.2,BREASTSTROKE,1,25.0,00:00:46.187,3:05,3:05,65.0,131.0,144.0,19,--,--
10.3,FREESTYLE,1,25.0,00:00:37.125,2:29,2:29,51.0,150.0,155.0,14,--,--
10.4,FREESTYLE,1,25.0,00:00:37.377,2:29,2:29,50.0,149.0,156.0,13,--,--
REST,,,0.0,00:00:19.944,--,--,0.0,148.0,149.0,0,0.0,1
Summary,,45,1125.0,00:44:38.879,2:33,0:,52.0,126.0,164.0,635,14.100000381469727,367
